run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.correction_acc,metrics.accuracy_0.8,metrics.predictive_equality_difference_0.2,metrics.correction_fpr,metrics.predictive_equality_difference_0.5,metrics.equalized_odds_difference_0.2,metrics.equal_opportunity_difference_0.5,metrics.equalized_odds_difference_0.5,metrics.predictive_equality_difference_0.8,metrics.demographic_parity_difference_0.2,metrics.demographic_parity_difference_0.8,metrics.auc_difference,metrics.correction_fnr,metrics.demographic_parity_difference_0.5,metrics.equal_opportunity_difference_0.2,metrics.roc_auc,metrics.accuracy_0.2,metrics.equalized_odds_difference_0.8,metrics.accuracy_0.5,metrics.equal_opportunity_difference_0.8,params.dataset,params.noise_rate,params.correction_alg,params.noise_type,params.classifier,params.senstive_attr,params.test_size,params.prob,tags.mlflow.source.type,tags.mlflow.source.git.commit,tags.mlflow.user,tags.test_set,tags.train_set,tags.mlflow.source.name,tags.mlflow.runName,tags.run
e54ecd398902431d819c6a61f483de61,144,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/144/e54ecd398902431d819c6a61f483de61/artifacts,2023-05-25 04:29:31.811000+00:00,2023-05-25 04:29:44.473000+00:00,0.7916666666666666,0.6984126984126984,0.059523809523809534,0.26153846153846155,0.4166666666666667,0.059523809523809534,0.29411764705882354,0.4166666666666667,0.08333333333333333,0.010141987829614618,0.39655172413793105,0.4166666666666665,0.17032967032967034,0.0020283975659229903,0.058823529411764705,0.8451143451143451,0.6190476190476191,0.7323529411764705,0.8412698412698413,0.7323529411764705,vote,0.5,Ordering-Based Correction (optimize demographic parity),flip,LogReg,immigration,0.2,0,LOCAL,31e2b9f6dd77383e72879bcb024a1f1dfab65336,ines,corrected,corrected,run_noiseinjection.py,suave-fish-534,25052023_051936
bcdd5133d137424c98414863b8739a7f,144,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/144/bcdd5133d137424c98414863b8739a7f/artifacts,2023-05-25 04:29:18.838000+00:00,2023-05-25 04:29:31.478000+00:00,0.7916666666666666,0.6825396825396826,0.011904761904761973,0.26153846153846155,0.4166666666666667,0.11764705882352944,0.35294117647058826,0.4166666666666667,0.08333333333333333,0.07403651115618659,0.43103448275862066,0.42647058823529416,0.17032967032967034,0.0365111561866126,0.11764705882352941,0.841995841995842,0.5873015873015873,0.7911764705882353,0.8253968253968254,0.7911764705882353,vote,0.5,Ordering-Based Correction (optimize demographic parity),flip,LogReg,immigration,0.2,0,LOCAL,31e2b9f6dd77383e72879bcb024a1f1dfab65336,ines,corrected,noisy,run_noiseinjection.py,thundering-shad-400,25052023_051936
2455c1011cf2470583849737337dc0a5,144,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/144/2455c1011cf2470583849737337dc0a5/artifacts,2023-05-25 04:29:05.874000+00:00,2023-05-25 04:29:18.508000+00:00,0.7916666666666666,0.8412698412698413,0.27380952380952384,0.26153846153846155,0.4166666666666667,0.2941176470588235,0.29411764705882354,0.4166666666666667,0.3333333333333333,0.06085192697768771,0.007099391480730244,0.4362745098039216,0.17032967032967034,0.0020283975659229903,0.29411764705882354,0.8336798336798338,0.8095238095238095,0.3333333333333333,0.8412698412698413,0.24411764705882355,vote,0.5,Ordering-Based Correction (optimize demographic parity),flip,LogReg,immigration,0.2,0,LOCAL,31e2b9f6dd77383e72879bcb024a1f1dfab65336,ines,corrected,original,run_noiseinjection.py,amazing-steed-82,25052023_051936
64256cea43884836b9e41c3bc020a522,144,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/144/64256cea43884836b9e41c3bc020a522/artifacts,2023-05-25 04:28:52.772000+00:00,2023-05-25 04:29:05.539000+00:00,0.7916666666666666,0.6825396825396826,0.051948051948051965,0.26153846153846155,0.45454545454545453,0.05555555555555558,0.3333333333333333,0.45454545454545453,0.09090909090909091,0.010141987829614618,0.39655172413793105,0.4469696969696969,0.17032967032967034,0.0020283975659229903,0.05555555555555555,0.838421052631579,0.6349206349206349,0.7388888888888889,0.8253968253968254,0.7388888888888888,vote,0.5,Ordering-Based Correction (optimize demographic parity),flip,LogReg,immigration,0.2,0,LOCAL,31e2b9f6dd77383e72879bcb024a1f1dfab65336,ines,noisy,corrected,run_noiseinjection.py,charming-toad-153,25052023_051936
af0be9aeea35409787b94345a7f98db9,144,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/144/af0be9aeea35409787b94345a7f98db9/artifacts,2023-05-25 04:28:39.871000+00:00,2023-05-25 04:28:52.441000+00:00,0.7916666666666666,0.6666666666666666,0.019480519480519543,0.26153846153846155,0.45454545454545453,0.11111111111111116,0.3888888888888889,0.45454545454545453,0.09090909090909091,0.07403651115618659,0.43103448275862066,0.45707070707070707,0.17032967032967034,0.0365111561866126,0.1111111111111111,0.8257894736842105,0.6031746031746031,0.7944444444444444,0.8095238095238095,0.7944444444444444,vote,0.5,Ordering-Based Correction (optimize demographic parity),flip,LogReg,immigration,0.2,0,LOCAL,31e2b9f6dd77383e72879bcb024a1f1dfab65336,ines,noisy,noisy,run_noiseinjection.py,bouncy-seal-775,25052023_051936
679c1b0ebc814271b18bd446b88f4d72,144,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/144/679c1b0ebc814271b18bd446b88f4d72/artifacts,2023-05-25 04:28:26.923000+00:00,2023-05-25 04:28:39.564000+00:00,0.7916666666666666,0.8253968253968254,0.3116883116883117,0.26153846153846155,0.45454545454545453,0.33333333333333337,0.3333333333333333,0.45454545454545453,0.36363636363636365,0.06085192697768771,0.007099391480730244,0.49242424242424243,0.17032967032967034,0.0020283975659229903,0.3333333333333333,0.8078947368421053,0.7936507936507936,0.36363636363636365,0.8253968253968254,0.2833333333333333,vote,0.5,Ordering-Based Correction (optimize demographic parity),flip,LogReg,immigration,0.2,0,LOCAL,31e2b9f6dd77383e72879bcb024a1f1dfab65336,ines,noisy,original,run_noiseinjection.py,illustrious-lark-70,25052023_051936
58c425b4fe2e48b3850105dee4414914,144,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/144/58c425b4fe2e48b3850105dee4414914/artifacts,2023-05-25 04:28:13.085000+00:00,2023-05-25 04:28:26.586000+00:00,0.7916666666666666,0.7301587301587301,0.023809523809523725,0.26153846153846155,0.08333333333333333,0.023809523809523725,0.058823529411764705,0.08333333333333333,0.0,0.010141987829614618,0.39655172413793105,0.004901960784313597,0.17032967032967034,0.0020283975659229903,0.0,0.9989604989604989,0.6507936507936508,0.6735294117647058,0.9682539682539683,0.6735294117647058,vote,0.5,Ordering-Based Correction (optimize demographic parity),flip,LogReg,immigration,0.2,0,LOCAL,31e2b9f6dd77383e72879bcb024a1f1dfab65336,ines,original,corrected,run_noiseinjection.py,efficient-bass-627,25052023_051936
9e34b8e2643745c087e3a18b26d99140,144,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/144/9e34b8e2643745c087e3a18b26d99140/artifacts,2023-05-25 04:28:00.009000+00:00,2023-05-25 04:28:12.739000+00:00,0.7916666666666666,0.7142857142857143,0.1785714285714286,0.26153846153846155,0.0,0.1785714285714286,0.058823529411764705,0.05882352941176472,0.0,0.07403651115618659,0.43103448275862066,0.0,0.17032967032967034,0.0365111561866126,0.0,0.998960498960499,0.6507936507936508,0.7323529411764705,0.9841269841269841,0.7323529411764705,vote,0.5,Ordering-Based Correction (optimize demographic parity),flip,LogReg,immigration,0.2,0,LOCAL,31e2b9f6dd77383e72879bcb024a1f1dfab65336,ines,original,noisy,run_noiseinjection.py,judicious-cub-193,25052023_051936
2bbebc8e832c4e119bb99fbb409f8019,144,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/144/2bbebc8e832c4e119bb99fbb409f8019/artifacts,2023-05-25 04:27:46.745000+00:00,2023-05-25 04:27:59.664000+00:00,0.7916666666666666,0.9682539682539683,0.14285714285714285,0.26153846153846155,0.0,0.14285714285714285,0.0,0.0,0.0,0.06085192697768771,0.007099391480730244,0.0,0.17032967032967034,0.0020283975659229903,0.0,1.0,0.9682539682539683,0.008823529411764675,1.0,0.008823529411764702,vote,0.5,Ordering-Based Correction (optimize demographic parity),flip,LogReg,immigration,0.2,0,LOCAL,31e2b9f6dd77383e72879bcb024a1f1dfab65336,ines,original,original,run_noiseinjection.py,luminous-ox-247,25052023_051936
08c5019e3fc445b8bf91afdcab95c349,144,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/144/08c5019e3fc445b8bf91afdcab95c349/artifacts,2023-05-25 04:27:32.966000+00:00,2023-05-25 04:27:46.006000+00:00,0.8493589743589743,0.7142857142857143,0.42207792207792205,0.16923076923076924,0.18181818181818182,0.42207792207792205,0.2222222222222222,0.2222222222222222,0.09090909090909091,0.2565922920892495,0.3275862068965517,0.23737373737373724,0.13736263736263737,0.0365111561866126,0.16666666666666666,0.8957894736842105,0.7142857142857143,0.6277777777777778,0.9047619047619048,0.6277777777777778,vote,0.4,Ordering-Based Correction (optimize demographic parity),flip,LogReg,immigration,0.2,0,LOCAL,31e2b9f6dd77383e72879bcb024a1f1dfab65336,ines,corrected,corrected,run_noiseinjection.py,welcoming-sow-394,25052023_051936
4b15337d4c8947cb84a4ee3942835d79,144,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/144/4b15337d4c8947cb84a4ee3942835d79/artifacts,2023-05-25 04:27:19.490000+00:00,2023-05-25 04:27:32.580000+00:00,0.8493589743589743,0.6984126984126984,0.49350649350649345,0.16923076923076924,0.18181818181818182,0.49350649350649345,0.2222222222222222,0.2222222222222222,0.09090909090909091,0.28600405679513186,0.3620689655172414,0.24242424242424232,0.13736263736263737,0.0365111561866126,0.16666666666666666,0.9010526315789473,0.6984126984126984,0.6833333333333333,0.9047619047619048,0.6833333333333333,vote,0.4,Ordering-Based Correction (optimize demographic parity),flip,LogReg,immigration,0.2,0,LOCAL,31e2b9f6dd77383e72879bcb024a1f1dfab65336,ines,corrected,noisy,run_noiseinjection.py,invincible-kit-93,25052023_051936
16f954fdc294401e9e5910f91184cbec,144,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/144/16f954fdc294401e9e5910f91184cbec/artifacts,2023-05-25 04:27:03.670000+00:00,2023-05-25 04:27:19.137000+00:00,0.8493589743589743,0.9206349206349206,0.038961038961038974,0.16923076923076924,0.18181818181818182,0.16666666666666663,0.16666666666666666,0.18181818181818182,0.09090909090909091,0.06085192697768771,0.007099391480730244,0.22222222222222232,0.13736263736263737,0.0020283975659229903,0.16666666666666666,0.8957894736842105,0.8888888888888888,0.11666666666666659,0.9206349206349206,0.11666666666666665,vote,0.4,Ordering-Based Correction (optimize demographic parity),flip,LogReg,immigration,0.2,0,LOCAL,31e2b9f6dd77383e72879bcb024a1f1dfab65336,ines,corrected,original,run_noiseinjection.py,wistful-mule-601,25052023_051936
5cb8133723fb4788bbd2798f77a4ae0e,144,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/144/5cb8133723fb4788bbd2798f77a4ae0e/artifacts,2023-05-25 04:26:49.884000+00:00,2023-05-25 04:27:03.317000+00:00,0.8493589743589743,0.6984126984126984,0.3857142857142857,0.16923076923076924,0.2,0.3857142857142857,0.2631578947368421,0.26315789473684215,0.1,0.2565922920892495,0.3275862068965517,0.26578947368421046,0.13736263736263737,0.0365111561866126,0.21052631578947367,0.8766025641025642,0.6984126984126984,0.6394736842105263,0.8888888888888888,0.6394736842105263,vote,0.4,Ordering-Based Correction (optimize demographic parity),flip,LogReg,immigration,0.2,0,LOCAL,31e2b9f6dd77383e72879bcb024a1f1dfab65336,ines,noisy,corrected,run_noiseinjection.py,thundering-dog-986,25052023_051936
03171311a53f407298b6841f94d92efa,144,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/144/03171311a53f407298b6841f94d92efa/artifacts,2023-05-25 04:26:36.325000+00:00,2023-05-25 04:26:49.532000+00:00,0.8493589743589743,0.6825396825396826,0.4571428571428571,0.16923076923076924,0.2,0.4571428571428571,0.2631578947368421,0.26315789473684215,0.1,0.28600405679513186,0.3620689655172414,0.2710526315789473,0.13736263736263737,0.0365111561866126,0.21052631578947367,0.8819444444444445,0.6825396825396826,0.6921052631578948,0.8888888888888888,0.6921052631578947,vote,0.4,Ordering-Based Correction (optimize demographic parity),flip,LogReg,immigration,0.2,0,LOCAL,31e2b9f6dd77383e72879bcb024a1f1dfab65336,ines,noisy,noisy,run_noiseinjection.py,caring-mule-340,25052023_051936
080e908ec65149a6a416d82759c5fa17,144,FINISHED,file:///mnt/c/Users/ineso/MEIC_22_23/rewriting-history/mlruns/144/080e908ec65149a6a416d82759c5fa17/artifacts,2023-05-25 04:26:22.375000+00:00,2023-05-25 04:26:35.989000+00:00,0.8493589743589743,0.9047619047619048,0.05714285714285716,0.16923076923076924,0.2,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.1,0.06085192697768771,0.007099391480730244,0.27105263157894743,0.13736263736263737,0.0020283975659229903,0.21052631578947367,0.8712606837606838,0.873015873015873,0.16052631578947363,0.9047619047619048,0.16052631578947368,vote,0.4,Ordering-Based Correction (optimize demographic parity),flip,LogReg,immigration,0.2,0,LOCAL,31e2b9f6dd77383e72879bcb024a1f1dfab65336,ines,noisy,original,run_noiseinjection.py,trusting-fly-723,25052023_051936
